Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr1	0	1.0000	0.000000
chr1	50000	1.0000	0.050000
chr1	100000	1.0000	0.100000
chr1	150000	1.0000	0.150000
chr1	200000	1.0000	0.200000
chr1	250000	1.0000	0.250000
chr1	300000	1.0000	0.300000
chr1	350000	1.0000	0.350000
chr1	400000	1.0000	0.400000
chr1	450000	1.0000	0.450000
chr1	500000	1.0000	0.500000
chr1	550000	1.0000	0.550000
chr1	600000	1.0000	0.600000
chr1	650000	1.0000	0.650000
chr1	700000	1.0000	0.700000
chr1	750000	1.0000	0.750000
chr1	800000	1.0000	0.800000
chr1	850000	1.0000	0.850000
chr1	900000	1.0000	0.900000
chr1	950000	1.0000	0.950000
chr1	1000000	1.0000	1.000000
chr1	1050000	1.0000	1.050000
chr1	1100000	1.0000	1.100000
chr1	1150000	1.0000	1.150000
chr1	1200000	1.0000	1.200000
chr1	1250000	1.0000	1.250000
chr1	1300000	1.0000	1.300000
chr1	1350000	1.0000	1.350000
chr1	1400000	1.0000	1.400000
chr1	1450000	1.0000	1.450000
chr1	1500000	1.0000	1.500000
chr1	1550000	1.0000	1.550000
chr1	1600000	1.0000	1.600000
chr1	1650000	1.0000	1.650000
chr1	1700000	1.0000	1.700000
chr1	1750000	1.0000	1.750000
chr1	1800000	1.0000	1.800000
chr1	1850000	1.0000	1.850000
chr1	1900000	1.0000	1.900000
chr1	1950000	1.0000	1.950000
chr1	2000000	1.0000	2.000000
chr1	2050000	1.0000	2.050000
chr1	2100000	1.0000	2.100000
chr1	2150000	1.0000	2.150000
chr1	2200000	1.0000	2.200000
chr1	2250000	1.0000	2.250000
chr1	2300000	1.0000	2.300000
chr1	2350000	1.0000	2.350000
chr1	2400000	1.0000	2.400000
chr1	2450000	1.0000	2.450000
chr1	2500000	1.0000	2.500000
chr1	2550000	1.0000	2.550000
chr1	2600000	1.0000	2.600000
chr1	2650000	1.0000	2.650000
chr1	2700000	1.0000	2.700000
chr1	2750000	1.0000	2.750000
chr1	2800000	1.0000	2.800000
chr1	2850000	1.0000	2.850000
chr1	2900000	1.0000	2.900000
chr1	2950000	1.0000	2.950000
chr1	3000000	1.0000	3.000000
chr1	3050000	1.0000	3.050000
chr1	3100000	1.0000	3.100000
chr1	3150000	1.0000	3.150000
chr1	3200000	1.0000	3.200000
chr1	3250000	1.0000	3.250000
chr1	3300000	1.0000	3.300000
chr1	3350000	1.0000	3.350000
chr1	3400000	1.0000	3.400000
chr1	3450000	1.0000	3.450000
chr1	3500000	1.0000	3.500000
chr1	3550000	1.0000	3.550000
chr1	3600000	1.0000	3.600000
chr1	3650000	1.0000	3.650000
chr1	3700000	1.0000	3.700000
chr1	3750000	1.0000	3.750000
chr1	3800000	1.0000	3.800000
chr1	3850000	1.0000	3.850000
chr1	3900000	1.0000	3.900000
chr1	3950000	1.0000	3.950000
chr1	4000000	1.0000	4.000000
chr1	4050000	1.0000	4.050000
chr1	4100000	1.0000	4.100000
chr1	4150000	1.0000	4.150000
chr1	4200000	1.0000	4.200000
chr1	4250000	1.0000	4.250000
chr1	4300000	1.0000	4.300000
chr1	4350000	1.0000	4.350000
chr1	4400000	1.0000	4.400000
chr1	4450000	1.0000	4.450000
chr1	4500000	0.0500	4.500000
chr1	4550000	0.0500	4.502500
chr1	4600000	0.0500	4.505000
chr1	4650000	0.0500	4.507500
chr1	4700000	0.0500	4.510000
chr1	4750000	0.0500	4.512500
chr1	4800000	0.0500	4.515000
chr1	4850000	0.0500	4.517500
chr1	4900000	0.0500	4.520000
chr1	4950000	0.0500	4.522500
chr1	5000000	0.0500	4.525000
chr1	5050000	0.0500	4.527500
chr1	5100000	0.0500	4.530000
chr1	5150000	0.0500	4.532500
chr1	5200000	0.0500	4.535000
chr1	5250000	0.0500	4.537500
chr1	5300000	0.0500	4.540000
chr1	5350000	0.0500	4.542500
chr1	5400000	0.0500	4.545000
chr1	5450000	0.0500	4.547500
chr1	5500000	0.0500	4.550000
chr1	5550000	1.0000	4.552500
chr1	5600000	1.0000	4.602500
chr1	5650000	1.0000	4.652500
chr1	5700000	1.0000	4.702500
chr1	5750000	1.0000	4.752500
chr1	5800000	1.0000	4.802500
chr1	5850000	1.0000	4.852500
chr1	5900000	1.0000	4.902500
chr1	5950000	1.0000	4.952500
chr1	6000000	1.0000	5.002500
chr1	6050000	1.0000	5.052500
chr1	6100000	1.0000	5.102500
chr1	6150000	1.0000	5.152500
chr1	6200000	1.0000	5.202500
chr1	6250000	1.0000	5.252500
chr1	6300000	1.0000	5.302500
chr1	6350000	1.0000	5.352500
chr1	6400000	1.0000	5.402500
chr1	6450000	1.0000	5.452500
chr1	6500000	1.0000	5.502500
chr1	6550000	1.0000	5.552500
chr1	6600000	1.0000	5.602500
chr1	6650000	1.0000	5.652500
chr1	6700000	1.0000	5.702500
chr1	6750000	1.0000	5.752500
chr1	6800000	1.0000	5.802500
chr1	6850000	1.0000	5.852500
chr1	6900000	1.0000	5.902500
chr1	6950000	1.0000	5.952500
chr1	7000000	1.0000	6.002500
chr1	7050000	1.0000	6.052500
chr1	7100000	1.0000	6.102500
chr1	7150000	1.0000	6.152500
chr1	7200000	1.0000	6.202500
chr1	7250000	1.0000	6.252500
chr1	7300000	1.0000	6.302500
chr1	7350000	1.0000	6.352500
chr1	7400000	1.0000	6.402500
chr1	7450000	1.0000	6.452500
chr1	7500000	1.0000	6.502500
chr1	7550000	1.0000	6.552500
chr1	7600000	1.0000	6.602500
chr1	7650000	1.0000	6.652500
chr1	7700000	1.0000	6.702500
chr1	7750000	1.0000	6.752500
chr1	7800000	1.0000	6.802500
chr1	7850000	1.0000	6.852500
chr1	7900000	1.0000	6.902500
chr1	7950000	1.0000	6.952500
chr1	8000000	1.0000	7.002500
chr1	8050000	1.0000	7.052500
chr1	8100000	1.0000	7.102500
chr1	8150000	1.0000	7.152500
chr1	8200000	1.0000	7.202500
chr1	8250000	1.0000	7.252500
chr1	8300000	1.0000	7.302500
chr1	8350000	1.0000	7.352500
chr1	8400000	1.0000	7.402500
chr1	8450000	1.0000	7.452500
chr1	8500000	1.0000	7.502500
chr1	8550000	1.0000	7.552500
chr1	8600000	1.0000	7.602500
chr1	8650000	1.0000	7.652500
chr1	8700000	1.0000	7.702500
chr1	8750000	1.0000	7.752500
chr1	8800000	1.0000	7.802500
chr1	8850000	1.0000	7.852500
chr1	8900000	1.0000	7.902500
chr1	8950000	1.0000	7.952500
chr1	9000000	1.0000	8.002500
chr1	9050000	1.0000	8.052500
chr1	9100000	1.0000	8.102500
chr1	9150000	1.0000	8.152500
chr1	9200000	1.0000	8.202500
chr1	9250000	1.0000	8.252500
chr1	9300000	1.0000	8.302500
chr1	9350000	1.0000	8.352500
chr1	9400000	1.0000	8.402500
chr1	9450000	1.0000	8.452500
chr1	9500000	1.0000	8.502500
chr1	9550000	1.0000	8.552500
chr1	9600000	1.0000	8.602500
chr1	9650000	1.0000	8.652500
chr1	9700000	1.0000	8.702500
chr1	9750000	1.0000	8.752500
chr1	9800000	1.0000	8.802500
chr1	9850000	1.0000	8.852500
chr1	9900000	1.0000	8.902500
chr1	9950000	1.0000	8.952500
chr1	10000000	1.0000	9.002500
