Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr2	0	1.0000	0.000000
chr2	50000	1.0000	0.050000
chr2	100000	1.0000	0.100000
chr2	150000	1.0000	0.150000
chr2	200000	1.0000	0.200000
chr2	250000	1.0000	0.250000
chr2	300000	1.0000	0.300000
chr2	350000	1.0000	0.350000
chr2	400000	1.0000	0.400000
chr2	450000	1.0000	0.450000
chr2	500000	1.0000	0.500000
chr2	550000	1.0000	0.550000
chr2	600000	1.0000	0.600000
chr2	650000	1.0000	0.650000
chr2	700000	1.0000	0.700000
chr2	750000	1.0000	0.750000
chr2	800000	1.0000	0.800000
chr2	850000	1.0000	0.850000
chr2	900000	1.0000	0.900000
chr2	950000	1.0000	0.950000
chr2	1000000	1.0000	1.000000
chr2	1050000	1.0000	1.050000
chr2	1100000	1.0000	1.100000
chr2	1150000	1.0000	1.150000
chr2	1200000	1.0000	1.200000
chr2	1250000	1.0000	1.250000
chr2	1300000	1.0000	1.300000
chr2	1350000	1.0000	1.350000
chr2	1400000	1.0000	1.400000
chr2	1450000	1.0000	1.450000
chr2	1500000	1.0000	1.500000
chr2	1550000	1.0000	1.550000
chr2	1600000	1.0000	1.600000
chr2	1650000	1.0000	1.650000
chr2	1700000	1.0000	1.700000
chr2	1750000	1.0000	1.750000
chr2	1800000	1.0000	1.800000
chr2	1850000	1.0000	1.850000
chr2	1900000	1.0000	1.900000
chr2	1950000	1.0000	1.950000
chr2	2000000	1.0000	2.000000
chr2	2050000	1.0000	2.050000
chr2	2100000	1.0000	2.100000
chr2	2150000	1.0000	2.150000
chr2	2200000	1.0000	2.200000
chr2	2250000	1.0000	2.250000
chr2	2300000	1.0000	2.300000
chr2	2350000	1.0000	2.350000
chr2	2400000	1.0000	2.400000
chr2	2450000	1.0000	2.450000
chr2	2500000	1.0000	2.500000
chr2	2550000	1.0000	2.550000
chr2	2600000	1.0000	2.600000
chr2	2650000	1.0000	2.650000
chr2	2700000	1.0000	2.700000
chr2	2750000	1.0000	2.750000
chr2	2800000	1.0000	2.800000
chr2	2850000	1.0000	2.850000
chr2	2900000	1.0000	2.900000
chr2	2950000	1.0000	2.950000
chr2	3000000	1.0000	3.000000
chr2	3050000	1.0000	3.050000
chr2	3100000	1.0000	3.100000
chr2	3150000	1.0000	3.150000
chr2	3200000	1.0000	3.200000
chr2	3250000	1.0000	3.250000
chr2	3300000	1.0000	3.300000
chr2	3350000	1.0000	3.350000
chr2	3400000	1.0000	3.400000
chr2	3450000	1.0000	3.450000
chr2	3500000	1.0000	3.500000
chr2	3550000	1.0000	3.550000
chr2	3600000	1.0000	3.600000
chr2	3650000	1.0000	3.650000
chr2	3700000	1.0000	3.700000
chr2	3750000	1.0000	3.750000
chr2	3800000	1.0000	3.800000
chr2	3850000	1.0000	3.850000
chr2	3900000	1.0000	3.900000
chr2	3950000	1.0000	3.950000
chr2	4000000	1.0000	4.000000
chr2	4050000	1.0000	4.050000
chr2	4100000	1.0000	4.100000
chr2	4150000	1.0000	4.150000
chr2	4200000	1.0000	4.200000
chr2	4250000	1.0000	4.250000
chr2	4300000	1.0000	4.300000
chr2	4350000	1.0000	4.350000
chr2	4400000	1.0000	4.400000
chr2	4450000	1.0000	4.450000
chr2	4500000	0.0500	4.500000
chr2	4550000	0.0500	4.502500
chr2	4600000	0.0500	4.505000
chr2	4650000	0.0500	4.507500
chr2	4700000	0.0500	4.510000
chr2	4750000	0.0500	4.512500
chr2	4800000	0.0500	4.515000
chr2	4850000	0.0500	4.517500
chr2	4900000	0.0500	4.520000
chr2	4950000	0.0500	4.522500
